X,Y,OBJECTID,ID,ROADNAME,ROADDIR,LATITUDE,LONGITUDE,SPEED
-77.070101888275445,38.955535823299002,1,8044,Connecticut-Avenue,N,38.955556,-77.07,0
-77.070093380526785,38.955519163102146,2,8045,Connecticut-Avenue,S,38.955556,-77.07,0
-77.039452768560039,38.902214313030129,3,8048,Connecticut-Avenue,S,38.902222,-77.039444,0
-77.039453578867224,38.90222029430587,4,8049,Connecticut-Avenue,N,38.902222,-77.039444,0
-77.044882703571176,38.91208563051358,5,8050,Connecticut-Avenue,N,38.911944,-77.045,0
-77.044876575133827,38.912076210142189,6,8051,Connecticut-Avenue,S,38.911944,-77.045,0
-77.021640803905285,38.91242442070407,7,8054,Rhode-Island-Avenue,W,38.9125,-77.021667,0
-77.021636965063777,38.912426781600239,8,8055,Rhode-Island-Avenue,E,38.9125,-77.021667,0
-76.982562165951819,38.92562877654133,9,8056,Rhode-Island-Avenue,W,38.925556,-76.9825,0
-76.982556248921412,38.925632622210237,10,8057,Rhode-Island-Avenue,E,38.92556,-76.9825,0
-77.051150362231752,38.923076211644982,11,8076,Connecticut-Avenue,N,38.923056,-77.051111,0
-77.051147912495054,38.923069285316274,12,8077, Connecticut-Avenue,S,38.923056,-77.051111,0
-77.059785799923219,38.937788487295578,13,8080, Connecticut-Avenue,S,38.937778,-77.059722,0
-77.059790511751075,38.937795439292422,14,8081,Connecticut-Avenue,N,38.937778,-77.059722,0
-77.07603229517035,38.965839206409818,15,8084,Connecticut-Avenue,N,38.965833,-77.075833,0
-77.076030063868487,38.965835172164113,16,8085,Connecticut-Avenue,S,38.965833,-77.075833,0
-77.062620937704708,38.942757888123992,17,8086,Connecticut-Avenue,N,38.942778,-77.0625,0
-77.062616767818426,38.942751386371761,18,8087,Connecticut-Avenue,S,38.942778,-77.0625,0
-77.072337831662793,38.959449480577426,19,8090,Connecticut-Avenue,S,38.959444,-77.072222,0
-77.072340500489503,38.959453019173282,20,8091,Connecticut-Avenue,N,38.959444,-77.072222,0
-77.046132868063779,38.914736063698847,21,8095,Connecticut-Avenue,S,38.914722,-77.046111,0
-77.046133968730587,38.914744197792878,22,8096,Connecticut-Avenue,N,38.914722,-77.046111,0
-77.041109594620394,38.905754682769278,23,8097,Connecticut-Avenue,N,38.905833,-77.041111,0
-77.041107690103203,38.905750845881521,24,8098,Connecticut-Avenue,S,38.905833,-77.041111,0
-77.000110339778445,38.919855273739586,25,8058,Rhode-Island-Avenue,W,38.919722,-77,0
-77.000066093797045,38.919875029036419,26,8059,Rhode-Island-Avenue,E,38.919722,-77,0
-76.959490010945558,38.851434570594265,27,8060,Suitland Pky,S,38.851389,-76.959444,0
-76.959448541383637,38.85144832108832,28,8061,Suitland Pky,N,38.851389,-76.959444,0
-76.983893973735661,38.852879269760244,29,8062,Suitland Pky,S,38.852778,-76.983889,0
-76.983911843318083,38.852874146425187,30,8063,Suitland Pky,N,38.852778,-76.983889,0
-77.016362711902275,38.891758207404564,31,8064,Pennsylvania-Avenue,E,38.891667,-77.016389,0
-77.016405420848855,38.891766543167329,32,8065,Pennsylvania-Avenue,W,38.891667,-77.016389,0
-77.022887214405543,38.893584207217643,33,8066,Pennsylvania-Anenue,E,38.893611,-77.022778,0
-77.022897324850845,38.893587718500712,34,8067,Pennsylvania-Anenue,W,38.893611,-77.022778,0
-77.009411342659945,38.916728202265205,35,8068,Rhode-Island-Avenue,W,38.916667,-77.009444,0
-77.009402810281614,38.916731896368759,36,8069,Rhode-Island-Avenue,E,38.916667,-77.009444,0
-76.997082040754776,38.862093667096261,37,8072,Suitland Pky,N,38.862222,-76.996944,0
-76.997075392625931,38.862091054488388,38,8073,Suitland Pky,W,38.862222,-76.996944,0
-76.971044602674795,38.931246029904848,39,8074,Rhode-Island-Avenue,W,38.931111,-76.971111,0
-76.971005357222865,38.931269009380614,40,8075,Rhode-Island-Avenue,E,38.931111,-76.971111,0
-77.015952738023358,38.914291809558236,41,8078,Rhode-Island-Avenue,E,38.914167,-77.015833,0
-77.015958491148666,38.914289142304767,42,8079,Rhode-Island-Avenue,W,38.914167,-77.015833,0
-76.963627463051168,38.935052858082031,43,8082,Rhode-Island-Avenue,E,38.935,-76.963611,0
-76.963635412234197,38.935048248304291,44,8083,Rhode-Island-Avenue,W,38.935,-76.963611,0
-77.004260199099249,38.859188625921639,45,8088,South-Capitol-St,N,38.859167,-77.004167,0
-77.004262595163226,38.859181437111886,46,8089,South-Capitol-St,S,38.859167,-77.004167,0
-77.009069773327852,38.872754923116865,47,8040,South-Capitol-St,S,0,0,0
-77.009069359666796,38.872764327921999,48,8041,South-Capitol-St,N,0,0,0
